domain,target,rank,feature,mutual_info,tree_accuracy,tree_macro_f1,tree_rule
ETP,implication_true,5,symmetry,0.02457146195595894,0.6,0.4743672939649578,"|--- symmetry <= 0.58
|   |--- symmetry <= 0.05
|   |   |--- symmetry <= 0.05
|   |   |   |--- class: 0
|   |   |--- symmetry >  0.05
|   |   |   |--- class: 1
|   |--- symmetry >  0.05
|   |   |--- symmetry <= 0.15
|   |   |   |--- class: 0
|   |   |--- symmetry >  0.15
|   |   |   |--- class: 0
|--- symmetry >  0.58
|   |--- symmetry <= 0.81
|   |   |--- symmetry <= 0.61
|   |   |   |--- class: 1
|   |   |--- symmetry >  0.61
|   |   |   |--- class: 0
|   |--- symmetry >  0.81
|   |   |--- symmetry <= 0.93
|   |   |   |--- class: 1
|   |   |--- symmetry >  0.93
|   |   |   |--- class: 0
"
ETP,implication_true,6,depth,0.021760293242155226,0.6777777777777778,0.5824668053111501,"|--- depth <= 6.50
|   |--- depth <= 1.50
|   |   |--- class: 1
|   |--- depth >  1.50
|   |   |--- depth <= 5.50
|   |   |   |--- class: 0
|   |   |--- depth >  5.50
|   |   |   |--- class: 0
|--- depth >  6.50
|   |--- class: 0
"
ETP,implication_true,7,affine_indicator,0.014646573580498368,0.6777777777777778,0.6404463424714149,"|--- affine_indicator <= 0.50
|   |--- class: 0
|--- affine_indicator >  0.50
|   |--- class: 1
"
ETP,implication_true,8,variable_count,0.010186707809874074,0.6,0.5015384615384615,"|--- variable_count <= 6.50
|   |--- variable_count <= 3.50
|   |   |--- variable_count <= 2.50
|   |   |   |--- class: 0
|   |   |--- variable_count >  2.50
|   |   |   |--- class: 0
|   |--- variable_count >  3.50
|   |   |--- variable_count <= 4.50
|   |   |   |--- class: 0
|   |   |--- variable_count >  4.50
|   |   |   |--- class: 0
|--- variable_count >  6.50
|   |--- variable_count <= 7.50
|   |   |--- class: 1
|   |--- variable_count >  7.50
|   |   |--- class: 0
"
ETP,proof_found,1,depth,0.09547252064276868,0.8111111111111111,0.44785276073619634,"|--- depth <= 5.50
|   |--- depth <= 1.50
|   |   |--- class: 0
|   |--- depth >  1.50
|   |   |--- depth <= 2.50
|   |   |   |--- class: 0
|   |   |--- depth >  2.50
|   |   |   |--- class: 0
|--- depth >  5.50
|   |--- class: 0
"
ETP,proof_found,2,projection_indicator,0.08353787767448684,0.8111111111111111,0.44785276073619634,"|--- projection_indicator <= 0.50
|   |--- class: 0
|--- projection_indicator >  0.50
|   |--- class: 0
"
ETP,proof_found,3,variable_count,0.07707123060365717,0.8111111111111111,0.44785276073619634,"|--- variable_count <= 6.50
|   |--- variable_count <= 2.50
|   |   |--- class: 0
|   |--- variable_count >  2.50
|   |   |--- variable_count <= 5.50
|   |   |   |--- class: 0
|   |   |--- variable_count >  5.50
|   |   |   |--- class: 0
|--- variable_count >  6.50
|   |--- class: 0
"
ETP,proof_found,4,idempotence_indicator,0.0457832644161289,0.8111111111111111,0.44785276073619634,"|--- idempotence_indicator <= 0.50
|   |--- class: 0
|--- idempotence_indicator >  0.50
|   |--- class: 0
"
ETP,proof_found,5,symmetry,0.025763406604114136,0.8,0.4444444444444444,"|--- symmetry <= 0.72
|   |--- symmetry <= 0.56
|   |   |--- symmetry <= 0.55
|   |   |   |--- class: 0
|   |   |--- symmetry >  0.55
|   |   |   |--- class: 1
|   |--- symmetry >  0.56
|   |   |--- class: 0
|--- symmetry >  0.72
|   |--- symmetry <= 0.80
|   |   |--- symmetry <= 0.78
|   |   |   |--- class: 0
|   |   |--- symmetry >  0.78
|   |   |   |--- class: 1
|   |--- symmetry >  0.80
|   |   |--- symmetry <= 0.82
|   |   |   |--- class: 0
|   |   |--- symmetry >  0.82
|   |   |   |--- class: 0
"
ETP,proof_found,6,repeated_variables,0.0028991166513245847,0.8111111111111111,0.44785276073619634,"|--- repeated_variables <= 2.50
|   |--- repeated_variables <= 1.50
|   |   |--- repeated_variables <= 0.50
|   |   |   |--- class: 0
|   |   |--- repeated_variables >  0.50
|   |   |   |--- class: 0
|   |--- repeated_variables >  1.50
|   |   |--- class: 0
|--- repeated_variables >  2.50
|   |--- repeated_variables <= 3.50
|   |   |--- class: 0
|   |--- repeated_variables >  3.50
|   |   |--- class: 0
"
ETP,proof_found,7,affine_indicator,0.0,0.8111111111111111,0.44785276073619634,"|--- affine_indicator <= 0.50
|   |--- class: 0
|--- affine_indicator >  0.50
|   |--- class: 0
"
